10000,500,4000,8
10001,1224,9792,8
10002,1666,3332,2
10003,1428,8568,6
10004,120,4800,40
10005,308,4928,16
10006,5002,5002,1
10007,10006,10006,1
10008,138,3312,24
10009,10008,10008,1
10010,60,2880,48
10011,1610,6440,4
10012,2502,5004,2
10013,720,8640,12
10014,1668,3336,2
10015,4004,8008,2
10016,312,4992,16
10017,468,5616,12
10018,5008,5008,1
10019,4872,9744,2
10020,332,2656,8
10021,910,9100,10
10022,5010,5010,1
10023,768,6144,8
10024,534,4272,8
10025,400,8000,20
10026,1668,3336,2
10027,540,9720,18
10028,1188,4752,4
10029,3342,6684,2
10030,464,3712,8
10031,4296,8592,2
10032,180,2880,16
10033,1638,9828,6
10034,1204,4816,4
10035,444,5328,12
10036,192,4608,24
10037,10036,10036,1
10038,714,2856,4
10039,10038,10038,1
10040,500,4000,8
10041,3346,6692,2
10042,5020,5020,1
10043,4510,9020,2
10044,270,3240,12
10045,840,6720,8
10046,5022,5022,1
10047,784,6272,8
10048,624,4992,8
10049,2316,9264,4
10050,660,2640,4
10051,4554,9108,2
10052,1074,4296,4
10053,1116,6696,6
10054,2280,4560,2
10055,4020,8040,2
10056,418,3344,8
10057,1232,9856,8
10058,2438,4876,2
10059,1434,5736,4
10060,1004,4016,4
10061,10060,10060,1
10062,84,3024,36
10063,4844,9688,2
10064,144,4608,32
10065,60,4800,80
10066,2154,4308,2
10067,10066,10066,1
10068,838,3352,4
10069,10068,10068,1
10070,468,3744,8
10071,1116,6696,6
10072,1258,5032,4
10073,4314,8628,2
10074,792,3168,4
10075,60,7200,120
10076,1140,4560,4
10077,3358,6716,2
10078,5038,5038,1
10079,10078,10078,1
10080,24,2304,96
10081,592,9472,16
10082,4970,4970,1
10083,3360,6720,2
10084,2520,5040,2
10085,2016,8064,4
10086,1640,3280,2
10087,390,7800,20
10088,96,4608,48
10089,522,6264,12
10090,1008,4032,4
10091,10090,10090,1
10092,812,3248,4
10093,10092,10092,1
10094,714,4284,6
10095,672,5376,8
10096,1260,5040,4
10097,4818,9636,2
10098,720,2880,4
10099,10098,10098,1
10100,100,4000,40
10101,36,5184,144
10102,5050,5050,1
10103,10102,10102,1
10104,420,3360,8
10105,1932,7728,4
10106,810,4860,6
10107,1122,6732,6
10108,342,4104,12
10109,4590,9180,2
10110,336,2688,8
10111,10110,10110,1
10112,1248,4992,4
10113,3370,6740,2
10114,1164,4656,4
10115,816,6528,8
10116,840,3360,4
10117,1650,9900,6
10118,5058,5058,1
10119,3372,6744,2
10120,220,3520,16
10121,2436,9744,4
10122,240,2880,12
10123,4940,9880,2
10124,2530,5060,2
10125,2700,5400,2
10126,2460,4920,2
10127,360,8640,24
10128,420,3360,8
10129,1446,8676,6
10130,1012,4048,4
10131,1530,6120,4
10132,592,4736,8
10133,10132,10132,1
10134,1686,3372,2
10135,4052,8104,2
10136,180,4320,24
10137,540,6480,12
10138,1224,4896,4
10139,10138,10138,1
10140,156,2496,16
10141,10140,10140,1
10142,460,4600,10
10143,462,5544,12
10144,632,5056,8
10145,2028,8112,4
10146,792,3168,4
10147,1656,9936,6
10148,1218,4872,4
10149,1584,6336,4
10150,420,3360,8
10151,10150,10150,1
10152,414,3312,8
10153,420,8400,20
10154,5076,5076,1
10155,676,5408,8
10156,2538,5076,2
10157,4350,8700,2
10158,1692,3384,2
10159,10158,10158,1
10160,252,4032,16
10161,1128,6768,6
10162,5080,5080,1
10163,10162,10162,1
10164,330,2640,8
10165,1908,7632,4
10166,528,4224,8
10167,3388,6776,2
10168,120,4800,40
10169,10168,10168,1
10170,336,2688,8
10171,1452,8712,6
10172,2542,5084,2
10173,3390,6780,2
10174,5086,5086,1
10175,180,7200,40
10176,208,3328,16
10177,10176,10176,1
10178,726,4356,6
10179,252,6048,24
10180,508,4064,8
10181,10180,10180,1
10182,1696,3392,2
10183,4784,9568,2
10184,198,4752,24
10185,96,4608,48
10186,2310,4620,2
10187,4980,9960,2
10188,282,3384,12
10189,4862,9724,2
10190,2036,4072,2
10191,546,6552,12
10192,84,4032,48
10193,10192,10192,1
10194,1698,3396,2
10195,4076,8152,2
10196,2548,5096,2
10197,510,6120,12
10198,5098,5098,1
10199,690,8280,12
10200,80,2560,32
